GSEC3_65_number,GSEC3_65_code,GSEC3_65_description_short,GSEC3_65_description_detailed,GSEC2_57_number,GSEC2_57_code,GSEC2_57_description_short,GSEC2_57_description_detailed
25,"ofd","Food products nec","Other Food: prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates; prepared and preserved vegetables, pulses and potatoes; prepared and preserved fruits and nuts; wheat and meslin flour; other cereal flours; groats, meal and pellets of wheat and other cereals; other cereal grain products (including corn flakes); other vegetable flours and meals; mixes and doughs for the preparation of bakers' wares; starches and starch products; sugars and sugar syrups n.e.c.; preparations used in animal feeding; lucerne (alfalfa) meal and pellets; bakery products; cocoa, chocolate and sugar confectionery; macaroni, noodles, couscous and similar farinaceous products; food products n.e.c.",25,"ofd","Food products nec","Other Food: prepared and preserved fish or vegetables, fruit juices and vegetable juices, prepared and preserved fruit and nuts, all cereal flours, groats, meal and pellets of wheat, cereal groats, meal and pellets n.e.c., other cereal grain products (including corn flakes), other vegetable flours and meals, mixes and doughs for the preparation of bakers' wares, starches and starch products; sugars and sugar syrups n.e.c., preparations used in animal feeding, bakery products, cocoa, chocolate and sugar confectionery, macaroni, noodles, couscous and similar farinaceous products, food products n.e.c."
26,"b_t","Beverages and tobacco products","Beverages and Tobacco products",26,"b_t","Beverages and tobacco products","Beverages and Tobacco products"
27,"tex","Textiles","Manufacture of textiles",27,"tex","Textiles","Textiles: textiles and man-made fibres"
28,"wap","Wearing apparel","Manufacture of wearing apparel",28,"wap","Wearing apparel","Wearing Apparel: Clothing, dressing and dyeing of fur"
29,"lea","Leather products","Manufacture of leather and related products",29,"lea","Leather products","Leather: tanning and dressing of leather; luggage, handbags, saddlery, harness and footwear"
30,"lum","Wood products","Lumber: manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",30,"lum","Wood products","Lumber: wood and products of wood and cork, except furniture; articles of straw and plaiting materials"
31,"ppp","Paper products, publishing","Paper & Paper Products: includes printing and reproduction of recorded media",31,"ppp","Paper products, publishing","Paper & Paper Products: includes publishing, printing and reproduction of recorded media"
32,"p_c","Petroleum, coal products","Petroleum & Coke: manufacture of coke and refined petroleum products",32,"p_c","Petroleum, coal products","Petroleum & Coke: coke oven products, refined petroleum products, processing of nuclear fuel"
33,"chm","Chemical products","Manufacture of chemicals and chemical products",33,"crp","Chemical, rubber, plastic products","Chemical Rubber Products: basic chemicals, other chemical products, rubber and plastics products"
34,"bph","Basic pharmaceutical products","Manufacture of pharmaceuticals, medicinal chemical and botanical products",33,"crp","Chemical, rubber, plastic products","Chemical Rubber Products: basic chemicals, other chemical products, rubber and plastics products"
35,"rpp","Rubber and plastic products","Manufacture of rubber and plastics products",33,"crp","Chemical, rubber, plastic products","Chemical Rubber Products: basic chemicals, other chemical products, rubber and plastics products"
36,"nmm","Mineral products nec","Manufacture of other non-metallic mineral products",34,"nmm","Mineral products nec","Non-Metallic Minerals: cement, plaster, lime, gravel, concrete"
37,"i_s","Ferrous metals","Iron & Steel: basic production and casting",35,"i_s","Ferrous metals","Iron & Steel: basic production and casting"
38,"nfm","Metals nec","Non-Ferrous Metals: production and casting of copper, aluminium, zinc, lead, gold, and silver",36,"nfm","Metals nec","Non-Ferrous Metals: production and casting of copper, aluminium, zinc, lead, gold, and silver"
39,"fmp","Metal products","Manufacture of fabricated metal products, except machinery and equipment",37,"fmp","Metal products","Fabricated Metal Products: Sheet metal products, but not machinery and equipment"
40,"ele","Computer, electronic and optical products","Manufacture of computer, electronic and optical products",40,"ele","Electronic equipment","Electronic Equipment: office, accounting and computing machinery, radio, television and communication equipment and apparatus"
41,"eeq","Electrical equipment","Manufacture of electrical equipment",41,"ome","Machinery and equipment nec","Other Machinery & Equipment: electrical machinery and apparatus n.e.c., medical, precision and optical instruments, watches and clocks"
42,"ome","Machinery and equipment nec","Manufacture of machinery and equipment n.e.c.",41,"ome","Machinery and equipment nec","Other Machinery & Equipment: electrical machinery and apparatus n.e.c., medical, precision and optical instruments, watches and clocks"
43,"mvh","Motor vehicles and parts","Manufacture of motor vehicles, trailers and semi-trailers",38,"mvh","Motor vehicles and parts","Motor Motor vehicles and parts: cars, lorries, trailers and semi-trailers"
44,"otn","Transport equipment nec","Manufacture of other transport equipment",39,"otn","Transport equipment nec","Other Transport Equipment: Manufacture of other transport equipment"
45,"omf","Manufactures nec","Other Manufacturing: includes furniture",42,"omf","Manufactures nec","Other Manufacturing: includes recycling"
46,"ely","Electricity","Electricity; steam and air conditioning supply",43,"ely","Electricity","Electricity: production, collection and distribution"
47,"gdt","Gas manufacture, distribution","Gas manufacture, distribution",44,"gdt","Gas manufacture, distribution","Gas Distribution: distribution of gaseous fuels through mains; steam and hot water supply"
48,"wtr","Water","Water supply; sewerage, waste management and remediation activities",45,"wtr","Water","Water: collection, purification and distribution"
49,"cns","Construction","Construction: building houses factories offices and roads",46,"cns","Construction","Construction: building houses factories offices and roads"
50,"trd","Trade","Wholesale and retail trade; repair of motor vehicles and motorcycles",47,"trd","Trade","Trade: all retail sales; wholesale trade and commission trade; hotels and restaurants; repairs of motor vehicles and personal and household goods; retail sale of automotive fuel"
51,"afs","Accommodation, Food and service activities","Accommodation, Food and service activities",47,"trd","Trade","Trade: all retail sales; wholesale trade and commission trade; hotels and restaurants; repairs of motor vehicles and personal and household goods; retail sale of automotive fuel"
52,"otp","Transport nec","Land transport and transport via pipelines",48,"otp","Transport nec","Other Transport: road, rail ; pipelines, auxiliary transport activities; travel agencies"
53,"wtp","Water transport","Water transport",49,"wtp","Water transport","Water transport"
54,"atp","Air transport","Air transport",50,"atp","Air transport","Air transport"
55,"whs","Warehousing and support activities","Warehousing and support activities",48,"otp","Transport nec","Other Transport: road, rail ; pipelines, auxiliary transport activities; travel agencies"
56,"cmn","Communication","Information and communication",51,"cmn","Communication","Communications: post and telecommunications"
57,"ofi","Financial services nec","Other Financial Intermediation: includes auxiliary activities but not insurance and pension funding",52,"ofi","Financial services nec","Other Financial Intermediation: includes auxiliary activities but not insurance and pension funding (see next)"
58,"ins","Insurance (formerly isr)","Insurance (formerly isr): includes pension funding, except compulsory social security",53,"isr","Insurance","Insurance: includes pension funding, except compulsory social security"
59,"rsa","Real estate activities","Real estate activities",54,"obs","Business services nec","Other Business Services: real estate, renting and business activities"
60,"obs","Business services nec","Other Business Services nec",54,"obs","Business services nec","Other Business Services: real estate, renting and business activities"
61,"ros","Recreational and other services","Recreation & Other Services: recreational, cultural and sporting activities, other service activities; private households with employed persons (servants)",55,"ros","Recreational and other services","Recreation & Other Services: recreational, cultural and sporting activities, other service activities; private households with employed persons (servants)"
62,"osg","Public Administration and defense","Other Services (Government): public administration and defense; compulsory social security, activities of membership organizations n.e.c., extra-territorial organizations and bodies",56,"osg","Public Administration, Defense, Education, Health","Other Services (Government): public administration and defense; compulsory social security, education, health and social work, sewage and refuse disposal, sanitation and similar activities, activities of membership organizations n.e.c., extra-territorial organizations and bodies"
63,"edu","Education","Education",56,"osg","Public Administration, Defense, Education, Health","Other Services (Government): public administration and defense; compulsory social security, education, health and social work, sewage and refuse disposal, sanitation and similar activities, activities of membership organizations n.e.c., extra-territorial organizations and bodies"
64,"hht","Human health and social work activities","Human health and social work",56,"osg","Public Administration, Defense, Education, Health","Other Services (Government): public administration and defense; compulsory social security, education, health and social work, sewage and refuse disposal, sanitation and similar activities, activities of membership organizations n.e.c., extra-territorial organizations and bodies"
65,"dwe","Dwellings","Dwellings: ownership of dwellings (imputed rents of houses occupied by owners)",57,"dwe","Dwellings","Dwellings: ownership of dwellings (imputed rents of houses occupied by owners)"
